chapter,chapter_name,section_id,section_name,req_id,req_description,L,日本語訳,ステータス,対応方法,ドキュメント,実装確認結果,インフラリソース,エビデンス,要件対象リソース
V3,Web Frontend Security,V3.4,Browser Security Mechanism Headers,V3.4.4,"Verify that all HTTP responses contain an 'X-Content-Type-Options: nosniff' header field. This instructs browsers not to use content sniffing and MIME type guessing for the given response, and to require the response's Content-Type header field value to match the destination resource. For example, the response to a request for a style is only accepted if the response's Content-Type is 'text/css'. This also enables the use of the Cross-Origin Read Blocking (CORB) functionality by the browser.",2,すべてのHTTPレスポンスに「X-Content-Type-Options: nosniff」ヘッダーフィールドが含まれていることを確認してください。これは特定のレスポンスに対してコンテンツスニッフィングを行わないようブラウザに指示するものです。,対応済み,,対象外,要件を満たしている。¥nhelmetにより `X-Content-Type-Options: nosniff` ヘッダーがすべてのレスポンスに対して出力されるよう設定されている。,対象外,稼働中のAPIから返却される X-Content-Type-Options ヘッダー,ソースコード
V3,Web Frontend Security,V3.4,Browser Security Mechanism Headers,V3.4.5,"Verify that the application sets a referrer policy to prevent leakage of technically sensitive data to third-party services via the 'Referer' HTTP request header field. This can be done using the Referrer-Policy HTTP response header field or via HTML element attributes. Sensitive data could include path and query data in the URL, and for internal non-public applications also the hostname.",2,アプリケーションがリファラーポリシーを設定し、「Referer」HTTPリクエストヘッダーを介してサードパーティサービスに技術的に機密なデータが漏洩するのを防いでいることを確認してください。,対応済み,,対象外,要件を満たしている。¥nhelmetにより `Referrer-Policy: no-referrer` ヘッダーがすべてのレスポンスに対して出力されており、リファラーを介した機密情報の漏洩を防ぐ設定となっている。,対象外,稼働中のAPIから返却される Referrer-Policy ヘッダー,ソースコード
V3,Web Frontend Security,V3.4,Browser Security Mechanism Headers,V3.4.6,"Verify that the web application uses the frame-ancestors directive of the Content-Security-Policy header field for every HTTP response to ensure that it cannot be embedded by default and that embedding of specific resources is allowed only when necessary. Note that the X-Frame-Options header field, although supported by browsers, is obsolete and may not be relied upon.",2,デフォルトで埋め込まれることがなく、特定のリソースの埋め込みが必要な場合にのみ許可されることを保証するために、WebアプリケーションがすべてのHTTPレスポンスに対してCSPヘッダーの「frame-ancestors」ディレクティブを使用していることを確認してください。,対応済み,,対象外,要件を満たしている。¥nhelmetにより出力されるCSPヘッダーに `frame-ancestors 'self'` ディレクティブが含まれており、自身以外からの埋め込みが禁止されている。また、`X-Frame-Options: SAMEORIGIN` も同時に設定されている。,対象外,稼働中のAPIから返却される Content-Security-Policy ヘッダー,ソースコード
V3,Web Frontend Security,V3.4,Browser Security Mechanism Headers,V3.4.7,Verify that the Content-Security-Policy header field specifies a location to report violations.,3,「Content-Security-Policy」ヘッダーフィールドが、違反を報告するための場所を指定していることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.4,Browser Security Mechanism Headers,V3.4.8,"Verify that all HTTP responses that initiate a document rendering (such as responses with Content-Type text/html), include the Cross‑Origin‑Opener‑Policy header field with the same-origin directive or the same-origin-allow-popups directive as required. This prevents attacks that abuse shared access to Window objects, such as tabnabbing and frame counting.",3,ドキュメントのレンダリングを開始するすべてのHTTPレスポンスに、必要に応じて「same-origin」または「same-origin-allow-popups」ディレクティブを含む「Cross-Origin-Opener-Policy」ヘッダーが含まれていることを確認してください。,確認中,,対象外,要件を満たしている。¥nhelmetにより `Cross-Origin-Opener-Policy: same-origin` が出力されており、悪意のある共有ウィンドウからの攻撃を防ぐ設定が行われている。,対象外,稼働中のAPIから返却される Cross-Origin-Opener-Policy ヘッダー,ソースコード
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.1,"Verify that, if the application does not rely on the CORS preflight mechanism to prevent disallowed cross-origin requests to use sensitive functionality, these requests are validated to ensure they originate from the application itself. This may be done by using and validating anti-forgery tokens or requiring extra HTTP header fields that are not CORS-safelisted request-header fields. This is to defend against browser-based request forgery attacks, commonly known as cross-site request forgery (CSRF).",1,アプリケーションがCORSプリフライトメカニズムに依存していない場合、許可されていないクロスオリジンリクエストを防ぐために、これらのリクエストがアプリケーション自体から発生したものであることを検証していることを確認してください。,未対応,multipart/form-data を用いたファイルアップロード等のエンドポイントにおいて、CORSプリフライトを迂回するクロスオリジンPOSTリクエストを防ぐため、CSRFトークンの検証やカスタムヘッダー等の対策を導入する。,対象外,未対応。¥n以前はすべて application/json だったためプリフライトでブロックできていたが、タスク作成・更新API（multipart/form-data）が実装されたことにより、CSRF保護が欠如している状態。,対象外,server/api/session/controller.ts における sameSite: 'strict' の設定,ソースコード
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.2,"Verify that, if the application relies on the CORS preflight mechanism to prevent disallowed cross-origin use of sensitive functionality, it is not possible to call the functionality with a request which does not trigger a CORS-preflight request. This may require checking the values of the 'Origin' and 'Content-Type' request header fields or using an extra header field that is not a CORS-safelisted header-field.",1,アプリケーションがCORSプリフライトメカニズムに依存している場合、CORSプリフライトリクエストをトリガーしないリクエストで機密機能を呼び出すことが不可能であることを確認してください。,確認中,,対象外,要件を満たしている。¥nFastifyのスキーマバリデーションにより `application/json` 以外のリクエスト（`text/plain` や `application/x-www-form-urlencoded` など、プリフライトをトリガーしない単純なコンテンツタイプ）は 403 エラーで拒否される仕組みとなっている。これにより、悪意のあるクロスオリジンリクエストがCORSプリフライトをバイパスして実行されるのを防いでいる。,対象外,稼働中のAPIに対する curl を用いた 단순なコンテンツタイプ のリクエスト検証結果,ソースコード
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.3,"Verify that HTTP requests to sensitive functionality use appropriate HTTP methods such as POST, PUT, PATCH, or DELETE, and not methods defined by the HTTP specification as ""safe"" such as HEAD, OPTIONS, or GET. Alternatively, strict validation of the Sec-Fetch-* request header fields can be used to ensure that the request did not originate from an inappropriate cross-origin call, a navigation request, or a resource load (such as an image source) where this is not expected.",1,機密機能へのHTTPリクエストがPOST、PUT、PATCH、DELETEなどの適切なHTTPメソッドを使用しており、HEAD、OPTIONS、GETなどの「安全」と定義されているメソッドを使用していないことを確認してください。,確認中,,対象外,要件を満たしている。¥n機密性の高い機能（認証セッションの作成・削除など）に対してはPOSTやDELETEなどの適切なHTTPメソッドが使用されている。,対象外,server/api/session/controller.ts における POST および DELETE メソッドの利用,ソースコード
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.4,"Verify that separate applications are hosted on different hostnames to leverage the restrictions provided by same-origin policy, including how documents or scripts loaded by one origin can interact with resources from another origin and hostname-based restrictions on cookies.",2,同一オリジンポリシーによって提供される制限を活用するために、別々のアプリケーションが異なるホスト名でホストされていることを確認してください。,対象外,,対象外,実装は対象外。¥n当システムは単一のアプリケーション（SPA + バックエンドAPI）であり、セキュリティ境界の異なる別々のアプリケーションを同一ホスト名に同居させるような構成はとっていないため、本要件は適用外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.5,"Verify that messages received by the postMessage interface are discarded if the origin of the message is not trusted, or if the syntax of the message is invalid.",2,「postMessage」インターフェースで受信したメッセージが、メッセージのオリジンが信頼されていない場合や構文が無効な場合に破棄されることを確認してください。,対象外,,対象外,実装は対象外。¥nソースコードを確認した結果、当アプリケーションでは `postMessage` インターフェースを使用していないため、本要件は適用外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.6,Verify that JSONP functionality is not enabled anywhere across the application to avoid Cross-Site Script Inclusion (XSSI) attacks.,3,クロスサイトスクリプトインクルージョン（XSSI）攻撃を回避するために、JSONP機能がアプリケーションのどこでも有効になっていないことを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.7,"Verify that data requiring authorization is not included in script resource responses, like JavaScript files, to prevent Cross-Site Script Inclusion (XSSI) attacks.",3,XSSI攻撃を防ぐために、認可（authorization）を必要とするデータがJavaScriptファイルなどのスクリプトリソースのレスポンスに含まれていないことを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.5,Browser Origin Separation,V3.5.8,"Verify that authenticated resources (such as images, videos, scripts, and other documents) can be loaded or embedded on behalf of the user only when intended. This can be accomplished by strict validation of the Sec-Fetch-* HTTP request header fields to ensure that the request did not originate from an inappropriate cross-origin call, or by setting a restrictive Cross-Origin-Resource-Policy HTTP response header field to instruct the browser to block returned content.",3,認証済みのリソース（画像、ビデオ、スクリプトなど）が、意図された場合にのみユーザーの代わりにロードまたは埋め込まれることを確認してください。これはSec-Fetch-*ヘッダーの厳格な検証などにより実現できます。,確認中,,対象外,要件を満たしている（L3要件だが標準で実装済）。¥nhelmetにより `Cross-Origin-Resource-Policy: same-origin` ヘッダーがすべてのレスポンスに対して出力されており、外部オリジンからの意図しないリソース読み込みをブラウザレベルでブロックする設定が行われている。,対象外,稼働中のAPIから返却される Cross-Origin-Resource-Policy ヘッダー,ソースコード
V3,Web Frontend Security,V3.6,External Resource Integrity,V3.6.1,"Verify that client-side assets, such as JavaScript libraries, CSS, or web fonts, are only hosted externally (e.g., on a Content Delivery Network) if the resource is static and versioned and Subresource Integrity (SRI) is used to validate the integrity of the asset. If this is not possible, there should be a documented security decision to justify this for each resource.",3,JavaScriptライブラリなどのクライアントサイドの資産が、リソースが静的でバージョン管理されており、SRIが使用されている場合にのみ外部（CDNなど）でホストされていることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.7,Other Browser Security Considerations,V3.7.1,"Verify that the application only uses client-side technologies which are still supported and considered secure. Examples of technologies which do not meet this requirement include NSAPI plugins, Flash, Shockwave, ActiveX, Silverlight, NACL, or client-side Java applets.",2,アプリケーションが、現在もサポートされており安全であると見なされているクライアントサイドのテクノロジーのみを使用していることを確認してください。,確認中,,対象外,"要件を満たしている。¥nアプリケーションはモダンなWeb標準（HTML5/React/Next.js）で構築されており、Flash, ActiveX, Javaアプレット等の非推奨・安全でないクライアント側テクノロジーは一切使用していない。",対象外,ソースコード全体（モダンなReact/Next.jsの技術スタックであること）,ソースコード
V3,Web Frontend Security,V3.7,Other Browser Security Considerations,V3.7.2,Verify that the application will only automatically redirect the user to a different hostname or domain (which is not controlled by the application) where the destination appears on an allowlist.,2,宛先が許可リストに載っている場合にのみ、アプリケーションがユーザーを別のホスト名またはドメインに自動的にリダイレクトすることを確認してください。,確認中,,対象外,要件を満たしている。¥nアプリケーションは認証基盤（Cognito等）のフローにおいてのみ `location.origin` 等の許可された自身のオリジンにリダイレクトを行い、ユーザー入力に基づく任意の外部ドメインへの自動リダイレクトは行わない実装となっている。,対象外,client/app/layout.tsx 等における自身のオリジンへのリダイレクト制限,ソースコード
V3,Web Frontend Security,V3.7,Other Browser Security Considerations,V3.7.3,"Verify that the application shows a notification when the user is being redirected to a URL outside of the application's control, with an option to cancel the navigation.",3,ユーザーがアプリケーションの制御外のURLにリダイレクトされる際に、ナビゲーションをキャンセルするオプション付きの通知を表示することを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.7,Other Browser Security Considerations,V3.7.4,"Verify that the application's top-level domain (e.g., site.tld) is added to the public preload list for HTTP Strict Transport Security (HSTS). This ensures that the use of TLS for the application is built directly into the main browsers, rather than relying only on the Strict-Transport-Security response header field.",3,アプリケーションのトップレベルドメインが、HSTSのパブリックプリロードリストに追加されていることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V3,Web Frontend Security,V3.7,Other Browser Security Considerations,V3.7.5,Verify that the application behaves as documented (such as warning the user or blocking access) if the browser used to access the application does not support the expected security features.,3,アプリケーションへのアクセスに使用されるブラウザが期待されるセキュリティ機能をサポートしていない場合、ドキュメント化されている通りに動作すること（警告やブロックなど）を確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.1,Generic Web Service Security,V4.1.1,"Verify that every HTTP response with a message body contains a Content-Type header field that matches the actual content of the response, including the charset parameter to specify safe character encoding (e.g., UTF-8, ISO-8859-1) according to IANA Media Types, such as ""text/"", ""/+xml"" and ""/xml"".",1,メッセージボディを含むすべてのHTTPレスポンスに、レスポンスの実際のコンテンツと一致する「Content-Type」ヘッダーフィールドが含まれていることを確認してください。これにはIANAメディアタイプに従って安全な文字エンコーディングを指定するための charset パラメータを含める必要があります。,対応済み,,対象外,要件を満たしている。¥nFastifyは `application/json; charset=utf-8` をデフォルトで適切に付与してレスポンスを返すように実装されている。,対象外,実際のAPIレスポンスの Content-Type ヘッダー,ソースコード
V4,API and Web Service,V4.1,Generic Web Service Security,V4.1.2,"Verify that only user-facing endpoints (intended for manual web-browser access) automatically redirect from HTTP to HTTPS, while other services or endpoints do not implement transparent redirects. This is to avoid a situation where a client is erroneously sending unencrypted HTTP requests, but since the requests are being automatically redirected to HTTPS, the leakage of sensitive data goes undiscovered.",2,ユーザー向けのエンドポイント（Webブラウザからの手動アクセスを意図したもの）のみがHTTPからHTTPSに自動的にリダイレクトし、他のサービスやエンドポイントは透過的なリダイレクトを実装していないことを確認してください。これは、クライアントが誤って暗号化されていないHTTPリクエストを送信している場合に、自動リダイレクトによって機密データの漏洩が気付かれないままになる状況を避けるためです。,対応済み,,対象外,要件を満たしている。¥nユーザー向けフロントエンド画面へのHTTPアクセスは、インフラストラクチャ（CloudFront）によって自動的にHTTPSへリダイレクトされる構成を前提としている。一方、バックエンドAPI（Fastifyサーバー / ECS）自体は透過的な HTTP -> HTTPS リダイレクトを実装しておらず、APIクライアントが誤って暗号化されていないHTTPリクエストを送信した場合に、自動的にHTTPSにフォールバックして機密情報の漏洩を隠蔽するような動作は行わない。,CloudFront,CloudFrontのHTTP->HTTPSリダイレクト設定,CloudFront
V4,API and Web Service,V4.1,Generic Web Service Security,V4.1.3,"Verify that any HTTP header field used by the application and set by an intermediary layer, such as a load balancer, a web proxy, or a backend-for-frontend service, cannot be overridden by the end-user. Example headers might include X-Real-IP, X-Forwarded-*, or X-User-ID.",2,アプリケーションによって使用され、ロードバランサー、Webプロキシ、BFF（backend-for-frontend）サービスなどの中間層によって設定されるHTTPヘッダーフィールドが、エンドユーザーによって上書きされないことを確認してください（例：X-Real-IP、X-Forwarded-*、X-User-IDなど）。,対象外,,対象外,実装は対象外。¥nアプリケーションは `X-Forwarded-For` や `X-Real-IP` 等の中間層が付与するヘッダーを一切利用していない（Fastifyの `trustProxy` も無効であり、ミドルウェアやコントローラーでも参照していない）ため、エンドユーザーによる上書きのリスクは存在しない。,対象外,対象外,対象外
V4,API and Web Service,V4.1,Generic Web Service Security,V4.1.4,Verify that only HTTP methods that are explicitly supported by the application or its API (including OPTIONS during preflight requests) can be used and that unused methods are blocked.,3,アプリケーションまたはそのAPIによって明示的にサポートされているHTTPメソッド（プリフライトリクエスト中のOPTIONSを含む）のみが使用でき、使用されていないメソッドがブロックされることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.1,Generic Web Service Security,V4.1.5,Verify that per-message digital signatures are used to provide additional assurance on top of transport protections for requests or transactions which are highly sensitive or which traverse a number of systems.,3,機密性が高い、または複数のシステムを横断するリクエストやトランザクションに対して、トランスポート保護に加えて追加の保証を提供するために、メッセージごとのデジタル署名が使用されていることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.2,HTTP Message Structure Validation,V4.2.1,"Verify that all application components (including load balancers, firewalls, and application servers) determine boundaries of incoming HTTP messages using the appropriate mechanism for the HTTP version to prevent HTTP request smuggling. In HTTP/1.x, if a Transfer-Encoding header field is present, the Content-Length header must be ignored per RFC 2616. When using HTTP/2 or HTTP/3, if a Content-Length header field is present, the receiver must ensure that it is consistent with the length of the DATA frames.",2,HTTPリクエストスマグリングを防ぐために、すべてのアプリケーションコンポーネント（ロードバランサー、ファイアウォール、アプリケーションサーバーを含む）がHTTPバージョンに適切なメカニズムを使用して受信したHTTPメッセージの境界を決定していることを確認してください。HTTP/1.xでは、Transfer-Encodingヘッダーが存在する場合、RFC 2616に従ってContent-Lengthヘッダーを無視しなければなりません。,対応済み,,対象外,要件を満たしている。¥n前段のCloudFrontおよびALBが厳格なリクエストパースを行うことに加え、バックエンドの実行環境が Node.js v20 および Fastify v5 と最新の状態に保たれており、HTTPリクエストスマグリングに対する保護メカニズムが備わっているため。,CloudFront¥nALB¥nAmazon ECS,server/package.json (Fastify v5)¥nDockerfile (Node.js v20),インフラリソース¥nソースコード
V4,API and Web Service,V4.2,HTTP Message Structure Validation,V4.2.2,"Verify that when generating HTTP messages, the Content-Length header field does not conflict with the length of the content as determined by the framing of the HTTP protocol, in order to prevent request smuggling attacks.",3,HTTPメッセージを生成する際、リクエストスマグリング攻撃を防ぐために、Content-LengthヘッダーフィールドがHTTPプロトコルのフレーミングによって決定されるコンテンツの長さと矛盾しないことを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.2,HTTP Message Structure Validation,V4.2.3,Verify that the application does not send nor accept HTTP/2 or HTTP/3 messages with connection-specific header fields such as Transfer-Encoding to prevent response splitting and header injection attacks.,3,レスポンス分割やヘッダーインジェクション攻撃を防ぐために、アプリケーションがTransfer-Encodingなどの接続固有のヘッダーフィールドを含むHTTP/2またはHTTP/3メッセージを送信または受信しないことを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.2,HTTP Message Structure Validation,V4.2.4,"Verify that the application only accepts HTTP/2 and HTTP/3 requests where the header fields and values do not contain any CR (\r), LF (\n), or CRLF (\r\n) sequences, to prevent header injection attacks.",3,ヘッダーインジェクション攻撃を防ぐために、アプリケーションが、ヘッダーフィールドと値にCR (\r)、LF (\n)、またはCRLF (\r\n) のシーケンスを含まないHTTP/2およびHTTP/3リクエストのみを受け入れることを確認してください。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.2,HTTP Message Structure Validation,V4.2.5,"Verify that, if the application (backend or frontend) builds and sends requests, it uses validation, sanitization, or other mechanisms to avoid creating URIs (such as for API calls) or HTTP request header fields (such as Authorization or Cookie), which are too long to be accepted by the receiving component. This could cause a denial of service, such as when sending an overly long request (e.g., a long cookie header field), which results in the server always responding with an error status.",3,アプリケーション（バックエンドまたはフロントエンド）がリクエストを構築して送信する場合、受信側のコンポーネントが受け入れられないほど長すぎるURI（API呼び出しなど）やHTTPリクエストヘッダーフィールド（認可「Authorization」やCookieなど）の作成を避けるために、検証、サニタイズ、またはその他のメカニズムを使用していることを確認してください。これはサービス拒否を引き起こす可能性があります。,対象外,,対象外,実装は対象外。¥n本要件はL3のため、当アプリケーションのスコープ外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.3,GraphQL,V4.3.1,"Verify that a query allowlist, depth limiting, amount limiting, or query cost analysis is used to prevent GraphQL or data layer expression Denial of Service (DoS) as a result of expensive, nested queries.",2,コストの高いネストされたクエリによるGraphQLまたはデータ層の式におけるサービス拒否（DoS）を防ぐために、クエリの許可リスト、深さ制限、量制限、またはクエリコスト分析が使用されていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはGraphQLを使用しておらず（RESTfulなAPI構成）、本要件は対象外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.3,GraphQL,V4.3.2,Verify that GraphQL introspection queries are disabled in the production environment unless the GraphQL API is meant to be used by other parties.,2,GraphQL APIが他のパーティによって使用されることを意図していない限り、本番環境でGraphQLのイントロスペクションクエリが無効になっていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはGraphQLを使用しておらず（RESTfulなAPI構成）、本要件は対象外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.4,WebSocket,V4.4.1,Verify that WebSocket over TLS (WSS) is used for all WebSocket connections.,1,すべてのWebSocket接続にWebSocket over TLS (WSS) が使用されていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはWebSocketを使用していないため、本要件は対象外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.4,WebSocket,V4.4.2,"Verify that, during the initial HTTP WebSocket handshake, the Origin header field is checked against a list of origins allowed for the application.",2,初期のHTTP WebSocketハンドシェイク中に、Originヘッダーフィールドがアプリケーションで許可されているオリジンのリストと照合して確認されることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはWebSocketを使用していないため、本要件は対象外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.4,WebSocket,V4.4.3,"Verify that, if the application's standard session management cannot be used, dedicated tokens are being used for this, which comply with the relevant Session Management security requirements.",2,アプリケーションの標準のセッション管理が使用できない場合、関連するセッション管理のセキュリティ要件に準拠した専用のトークンがこれに使用されていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはWebSocketを使用していないため、本要件は対象外とする。,対象外,対象外,対象外
V4,API and Web Service,V4.4,WebSocket,V4.4.4,Verify that dedicated WebSocket session management tokens are initially obtained or validated through the previously authenticated HTTPS session when transitioning an existing HTTPS session to a WebSocket channel.,2,既存のHTTPSセッションをWebSocketチャネルに移行する際に、専用のWebSocketセッション管理トークンが、事前に認証（authenticated）されたHTTPSセッションを通じて初期取得または検証されることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションはWebSocketを使用していないため、本要件は対象外とする。,対象外,対象外,対象外
V5,File Handling,V5.1,File Handling Documentation,V5.1.1,"Verify that the documentation defines the permitted file types, expected file extensions, and maximum size (including unpacked size) for each upload feature. Additionally, ensure that the documentation specifies how files are made safe for end-users to download and process, such as how the application behaves when a malicious file is detected.",2,ドキュメントに、各アップロード機能の許可されたファイルタイプ、想定されるファイル拡張子、および最大サイズが定義されていることを確認してください。さらに、悪意のあるファイルが検出された場合のアプリケーションの動作など、エンドユーザーがダウンロードして処理するのにファイルがどのように安全にされるかが指定されていることを確認してください。,未対応,READMEやAPI仕様書等において、タスク画像としてアップロード可能なファイルタイプ、拡張子、および最大サイズを明記し、コード側で制限を実装する。,対象外,未対応。¥n許可されるファイル形式が定義されておらず、サイズ制限もFastifyデフォルトの1GBのまま運用されているため。,対象外,対象外,ドキュメント
V5,File Handling,V5.2,File Upload and Content,V5.2.1,Verify that the application will only accept files of a size which it can process without causing a loss of performance or a denial of service attack.,1,アプリケーションが、パフォーマンスの低下やサービス拒否攻撃を引き起こすことなく処理できるサイズのファイルのみを受け入れることを確認してください。,未対応,Fastifyのmultipart設定やzodバリデーション等を用いて、アプリケーションが安全に処理できる現実的なファイルサイズ上限（例: 数MB）を強制する。,対象外,未対応。¥nファイルサイズ制限が1GBと過大であり、巨大なファイルのアップロードによるDoS攻撃の危険があるため。,Amazon S3,対象外,インフラリソース¥nソースコード
V5,File Handling,V5.2,File Upload and Content,V5.2.2,"Verify that when the application accepts a file, either on its own or within an archive such as a zip file, it checks if the file extension matches an expected file extension and validates that the contents correspond to the type represented by the extension. This includes, but is not limited to, checking the initial 'magic bytes', performing image re-writing, and using specialized libraries for file content validation. For L1, this can focus just on files which are used to make specific business or security decisions. For L2 and up, this must apply to all files being accepted.",1,アプリケーションがファイルを（単独で、またはzipファイルなどのアーカイブ内で）受け入れる際、ファイル拡張子が期待されるものと一致するか確認し、コンテンツが拡張子で表されるタイプに対応していることを検証することを確認してください。これにはマジックバイトのチェックや画像再書き込みなどが含まれます。,未対応,zod等を用いて、ファイルの拡張子が期待されるものと一致するか確認し、さらにマジックバイト検証等で内容が拡張子と一致していることを検証する処理を追加する。,対象外,未対応。¥n現在、バックエンドにおいて拡張子やファイル内容（マジックバイト等）のホワイトリスト検証が行われていないため。,対象外,対象外,ソースコード
V5,File Handling,V5.2,File Upload and Content,V5.2.3,"Verify that the application checks compressed files (e.g., zip, gz, docx, odt) against maximum allowed uncompressed size and against maximum number of files before uncompressing the file.",2,ファイルを解凍する前に、圧縮ファイル（zip、gz、docx、odtなど）の解凍後の最大許容サイズと最大ファイル数をチェックしていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションにはファイルのアップロード・ダウンロード等のファイル取り扱い機能が存在しないため、本要件は対象外とする。,対象外,対象外,対象外
V5,File Handling,V5.2,File Upload and Content,V5.2.4,"Verify that a file size quota and maximum number of files per user are enforced to ensure that a single user cannot fill up the storage with too many files, or excessively large files.",3,単一のユーザーがストレージを多すぎるファイルや過度に大きなファイルで埋め尽くせないように、ユーザーごとのファイルサイズ制限と最大ファイル数が強制されていることを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションにはファイルのアップロード・ダウンロード等のファイル取り扱い機能が存在しないため、本要件は対象外とする。,対象外,対象外,対象外
V5,File Handling,V5.2,File Upload and Content,V5.2.5,Verify that the application does not allow uploading compressed files containing symlinks unless this is specifically required (in which case it will be necessary to enforce an allowlist of the files that can be symlinked to).,3,特に必要な場合（その場合はシンボリックリンク先のファイルの許可リストを強制する必要がある）を除き、シンボリックリンクを含む圧縮ファイルのアップロードをアプリケーションが許可していないことを確認してください。,対象外,,対象外,実装は対象外。¥nアプリケーションにはファイルのアップロード・ダウンロード等のファイル取り扱い機能が存在しないため、本要件は対象外とする。,対象外,対象外,対象外
V5,File Handling,V5.2,File Upload and Content,V5.2.6,"Verify that the application rejects uploaded images with a pixel size larger than the maximum allowed, to prevent pixel flood attacks.",3,ピクセルフラッド攻撃を防ぐために、最大許容サイズより大きいピクセルサイズのアップロードされた画像をアプリケーションが拒否することを確認してください。,未対応,ピクセルフラッド攻撃を防ぐため、画像処理ライブラリ等を用いて、アップロードされた画像の解像度（ピクセルサイズ）が最大許容サイズを超えていないか確認し、超える場合は拒否する。,対象外,未対応。¥n現在、画像としてアップロードされたファイルのピクセルサイズ上限チェックが存在しないため。,対象外,対象外,対象外
V5,File Handling,V5.3,File Storage,V5.3.1,"Verify that files uploaded or generated by untrusted input and stored in a public folder, are not executed as server-side program code when accessed directly with an HTTP request.",1,信頼できない入力によってアップロードまたは生成され、公開フォルダに保存されたファイルが、HTTPリクエストで直接アクセスされた際にサーバーサイドのプログラムコードとして実行されないことを確認してください。,対応済み,,対象外,要件を満たしている。¥nアップロードされたファイルの実体はAmazon S3に保存されるため、サーバー（Fastify等）上でPHP等のスクリプトとして実行されるリスクはアーキテクチャ上完全に排除されている。,対象外,対象外,対象外
V5,File Handling,V5.3,File Storage,V5.3.2,"Verify that when the application creates file paths for file operations, instead of user-submitted filenames, it uses internally generated or trusted data, or if user-submitted filenames or file metadata must be used, strict validation and sanitization must be applied. This is to protect against path traversal, local or remote file inclusion (LFI, RFI), and server-side request forgery (SSRF) attacks.",1,アプリケーションがファイル操作のためにファイルパスを作成する際、ユーザーが送信したファイル名ではなく内部で生成されたまたは信頼できるデータを使用していること、あるいはユーザー送信のファイル名を使用しなければならない場合は厳格な検証とサニタイズが適用されていることを確認してください。,対応済み,,対象外,要件を満たしている。¥nAmazon S3への保存キー（パス）を生成する際、ユーザー入力のファイル名ではなくサーバーサイドで生成したULID等を用いているため、パストラバーサル（LFI）およびファイル上書き攻撃を防ぐ設計となっている。,対象外,対象外,ソースコード
